"SERA Annual Events 2026 - Technical Proposal",,,,,,
"Prepared for: Saudi Electricity Regulatory Authority (هيئة تنظيم الكهرباء)",,,,,,
"Location: All events in Riyadh",,,,,,
"Date Prepared: January 2026",,,,,,
,,,,,,
"═══════════════════════════════════════════════════════════════════════════════════════",,,,,,
"SECTION 1: EXECUTIVE SUMMARY",,,,,,
"═══════════════════════════════════════════════════════════════════════════════════════",,,,,,
,,,,,,
"Event Category","Number of Events","Primary Audience","Typical Attendance","Event Format","Key Deliverables","Notes"
"Major Corporate Celebrations","4","All Employees","250-300","Reception/Gala","Venue, Catering, Entertainment, Gifts","Eid Fitr, Eid Adha, National Day, Year-End"
"Awareness Days & CSR","12","All Employees","150-250","Interactive Booth/Exhibition","Setup, Materials, Activities","Health, Safety, Social themes"
"Sports Tournaments","3","Male Employees (10 teams)","120-150 participants","Competition Format","Venue, Equipment, Referees, Prizes","Football, Padel, etc."
"Seasonal Programs","2","All Employees + Families","250-300","Multi-activity Event","Program, Entertainment, F&B","Summer SERA, Winter SERA"
"Professional Development","2","Selected Staff","100-150","Conference/Workshop","Speakers, Materials, Certificates","Annual Meeting, Innovation Day"
"Total Annual Events","23+","","","","",""
,,,,,,
"═══════════════════════════════════════════════════════════════════════════════════════",,,,,,
"SECTION 2: Q1 EVENTS (January - March) - DETAILED SPECIFICATIONS",,,,,,
"═══════════════════════════════════════════════════════════════════════════════════════",,,,,,
,,,,,,
"Event","Date","Type","Attendance","Venue Recommendation","Technical Requirements","Scope of Work"
"Annual Meeting 2026","February 3","Corporate Conference","250-300","5-Star Hotel Ballroom (e.g., Ritz-Carlton, Four Seasons)","Stage (8m x 4m), LED Screen (4m x 2.5m), Professional Sound System, 4 Wireless Mics, Podium, Presentation Clickers, Live Streaming Setup","Full event management including registration desk, name badges, agenda booklets, simultaneous translation (Arabic/English), professional MC, photography & videography team"
"Employee Appreciation Day","March 2","Recognition Ceremony","250-300","SERA HQ or 5-Star Hotel","Stage setup with backdrop, Award pedestals, Recognition certificates, Trophy display, Sound system, Lighting for ceremonies","Event design & branding, Award design & production, Employee recognition program coordination, Entertainment (live band or performance), Gala dinner setup"
"International Women's Day","March 8","Awareness/Celebration","150 (female employees)","Boutique Venue or Hotel (Ladies Section)","Elegant décor, Stage for speakers, Presentation equipment, Photo booth setup","Keynote speaker arrangement, Panel discussion setup, Gift bags for attendees, Flower arrangements, Light refreshments"
"Saudi Flag Day","March 11","Patriotic Celebration","250-300","SERA HQ Outdoor Area/Lobby","Large Saudi flag display, National colors decoration, Photo opportunity setup, Sound system","Flag raising ceremony coordination, Patriotic content display, Commemorative items, Social media coverage"
"Ramadan Iftar","Mid-March","Corporate Iftar","250-300","5-Star Hotel Ramadan Tent (e.g., Fairmont, Four Seasons)","Traditional Ramadan décor, Prayer area arrangement, VIP seating section, Arabic entertainment setup","Complete Iftar buffet coordination, Ramadan ambiance setup, Traditional entertainment (Oud player/Mawwal), Gift distribution, Charity announcement"
"Mother's Day","March 21","Appreciation Event","100-150 (mothers of employees or female staff)","Elegant restaurant or hotel venue","Floral arrangements, Stage for presentations, Photo booth","Gifts for mothers, Entertainment, Celebratory program, Light refreshments"
,,,,,,
"Q1 Technical Requirements Summary:",,,,,,
"Item","Specification","Quantity Needed","Supplier Type","Quality Standard","",""
"LED Video Walls","P2.5 Indoor, minimum 4m x 2.5m","2 events","Premium AV Rental","Broadcast quality","",""
"Professional Sound System","Line array + wireless mics","6 events","Premium AV Rental","Concert grade","",""
"Stage & Backdrop","Custom branded, modular","4 events","Event Production Company","Professional finish","",""
"Photography","Professional event photographer","6 events","Licensed photographer","Portfolio quality","",""
"Videography","4K multi-camera","3 events","Professional production house","Broadcast quality","",""
"Simultaneous Translation","Arabic/English booths","1 event","Specialized vendor","Certified interpreters","",""
,,,,,,
"═══════════════════════════════════════════════════════════════════════════════════════",,,,,,
"SECTION 3: Q2 EVENTS (April - June) - DETAILED SPECIFICATIONS",,,,,,
"═══════════════════════════════════════════════════════════════════════════════════════",,,,,,
,,,,,,
"Event","Date","Type","Attendance","Venue Recommendation","Technical Requirements","Scope of Work"
"Eid Al-Fitr Celebration","Early April","Major Celebration","250-300","5-Star Hotel Ballroom","Full stage production, LED screens, Premium sound & lighting, Photo booth, Entertainment stage","Complete event management, Gala setup, Traditional entertainment (Ardah performance available), Premium catering, Eid gifts for all employees, Children's corner (if families invited)"
"Creativity & Innovation Day","April 21","Professional Development","150-200","Conference Center or Hotel","Innovation showcase booths, Presentation stage, Interactive displays, Voting systems for innovation awards","Innovation competition coordination, Judging panel setup, Award ceremony, Keynote speakers on innovation, Workshop facilitation"
"International Tea Day","May 21","Wellness/Social","200-250","SERA HQ Common Areas","Tea stations (Arabic, English, Asian varieties), Decorative setup, Information displays","Multiple tea service stations, Tea tasting program, Educational materials about tea culture, Light snacks pairing"
"Blood Donation Day","June 14","CSR/Health","100+ donors","SERA HQ with Medical Setup","Medical screening area, Donation beds (coordinated with blood bank), Recovery area, Registration system","Coordination with Saudi Red Crescent, Pre-event awareness campaign, Donor appreciation gifts, Refreshments for donors, Certificates of appreciation"
"Father's Day","June 15","Appreciation Event","100-150","Restaurant or event space","Decorative setup, Photo opportunities, Sound for announcements","Gifts for fathers, Celebratory program, Family-friendly activities if extended"
"Eid Al-Adha Celebration","Mid-June","Major Celebration","250-300","5-Star Hotel Ballroom","Full stage production, LED screens, Premium sound & lighting, Photo booth, Entertainment stage","Complete event management, Gala dinner, Traditional entertainment, Premium catering, Eid gifts for all employees, Cultural performances"
,,,,,,
"Q2 Technical Requirements Summary:",,,,,,
"Item","Specification","Quantity Needed","Supplier Type","Quality Standard","",""
"Gala Event Production","Full stage, AV, lighting","2 events (Eid celebrations)","Premium Event Production","5-star standard","",""
"Innovation Showcase","Interactive booths, displays","1 event","Exhibition contractor","Professional finish","",""
"Medical Coordination","Blood donation setup","1 event","Saudi Red Crescent partnership","Medical grade","",""
"Traditional Entertainment","Ardah troupe, Oud players","2 events","Cultural entertainment agency","Authentic performance","",""
,,,,,,
"═══════════════════════════════════════════════════════════════════════════════════════",,,,,,
"SECTION 4: Q3 EVENTS (July - September) - DETAILED SPECIFICATIONS",,,,,,
"═══════════════════════════════════════════════════════════════════════════════════════",,,,,,
,,,,,,
"Event","Date","Type","Attendance","Venue Recommendation","Technical Requirements","Scope of Work"
"Summer SERA (صيف SERA)","July 20","Major Seasonal Event","250-300 + families","Resort or Entertainment Venue (e.g., Boulevard Riyadh City area)","Multiple activity zones, Entertainment stage, F&B stations, Kids area setup, Shaded areas (critical for July heat)","Full program planning, Multiple entertainment acts, Food festival setup, Games & competitions, Prizes & giveaways, Family activities, Photo/video coverage"
"World Alzheimer's Day Awareness","September 21","Health Awareness","200-250","SERA HQ","Information booth, Awareness materials display, Speaker setup","Partnership with health organization, Awareness session, Information distribution, Purple ribbon distribution, Expert speaker"
"Saudi National Day (94th)","September 23","Major National Celebration","250-300","Premium Venue with National Day Theme or SERA decorated","National colors decoration throughout, Stage with patriotic backdrop, LED displays with national content, Photo opportunities with national themes","Full patriotic program, Traditional performances (Ardah), National anthem, Official speeches, National Day themed gifts, Saudi traditional food station, Green lighting theme"
,,,,,,
"Q3 Special Considerations:",,,,,,
"Challenge","Solution","Vendor Requirement","","","",""
"Extreme July heat for Summer SERA","Indoor/climate-controlled venue OR evening timing (after sunset)","Venue must have strong AC or outdoor misting systems","","","",""
"National Day high demand period","Book venue 3-4 months in advance","Confirm vendor availability early","","","",""
"Family event logistics","Separate children's area with dedicated staff","Childcare/entertainment vendor needed","","","",""
,,,,,,
"═══════════════════════════════════════════════════════════════════════════════════════",,,,,,
"SECTION 5: Q4 EVENTS (October - December) - DETAILED SPECIFICATIONS",,,,,,
"═══════════════════════════════════════════════════════════════════════════════════════",,,,,,
,,,,,,
"Event","Date","Type","Attendance","Venue Recommendation","Technical Requirements","Scope of Work"
"International Coffee Day","October 1","Social/Wellness","200-250","SERA HQ Common Areas","Coffee stations (Arabic, specialty, international), Barista setup, Tasting displays","Professional barista service, Coffee tasting program, Educational content, Arabic coffee ceremony, Light pastries"
"Cybersecurity Awareness Exhibition","October (TBD)","Professional/Awareness","200-300","SERA HQ or Conference Center","Interactive exhibition booths, Demo stations, Presentation area, Simulation displays","Booth design & production, Interactive cybersecurity demos, Expert speakers, Awareness materials, Giveaways (branded USB, materials)"
"World Mental Health Day","October 10","Health Awareness","200-250","SERA HQ","Wellness corner, Speaker setup, Relaxation zone","Wellness speaker/psychologist, Stress management workshop, Relaxation activities, Awareness materials"
"Quality Day","November 10","Professional Development","150-200","Conference Room or Hotel","Presentation setup, Award stage, Display area","Quality awards ceremony, Best practices presentations, Quality improvement recognition"
"International Men's Day","November 19","Appreciation Event","200-250 (male employees)","Event venue or restaurant","Stage setup, Activity areas","Recognition program, Team-building activities, Refreshments"
"Universal Children's Day","November 20","CSR/Family","100-150 (with children)","Family-friendly venue","Children's entertainment area, Safety measures, Activity stations","Children's activities, Gifts for children, Family program, Entertainment"
"International Anti-Corruption Day","December 9","Awareness/Professional","200-250","SERA HQ or Conference","Presentation setup, Pledge wall, Information displays","Speaker session on integrity, Pledge signing ceremony, Awareness materials"
"Arabic Language Day","December 18","Cultural Celebration","200-250","SERA HQ or Cultural Venue","Arabic calligraphy displays, Poetry corner, Presentation area","Arabic poetry readings, Calligraphy workshop, Cultural program, Arabic literature display"
"Year-End Celebration","Late December","Major Celebration","250-300","5-Star Hotel Ballroom","Full gala production, Stage, LED screens, Entertainment setup, Award stage","Complete year-end gala, Annual achievements review, Employee awards, Entertainment, Dinner, Year-end gifts"
"Volunteer Day (December 5)","December 5","CSR Activity","50-100 volunteers","Community location (orphanage, elderly home, etc.)","Transportation, Activity materials, Branded volunteer items","Volunteer activity coordination, Transportation arrangement, Activity planning, Photo documentation, Volunteer appreciation"
,,,,,,
"═══════════════════════════════════════════════════════════════════════════════════════",,,,,,
"SECTION 6: SPORTS EVENTS SPECIFICATIONS",,,,,,
"═══════════════════════════════════════════════════════════════════════════════════════",,,,,,
,,,,,,
"Sport Tournament","Teams","Format","Venue Type","Equipment Needed","Personnel","Duration"
"Football Tournament","10 teams (men only)","Round-robin + Knockout","Professional football pitches (e.g., Goals Soccer Centre, 360 Sports)","Match balls (10), Team jerseys (10 sets x 15 players), Goals, Cones, First aid kit, Scoreboard","3 referees, 2 linesmen, 1 tournament coordinator, 1 medical staff, 2 photographers","2-3 weekends (Friday matches)"
"Padel Tournament","10 teams (doubles)","Knockout format","Premium Padel Club (e.g., Padel Up, Padel Rush)","Padel balls, Branded towels, Water stations, Scoreboard display","2 referees per court, Tournament coordinator, Photographer","1-2 weekends"
"Other Sports (Optional)","As required","TBD","Appropriate venue","Sport-specific equipment","Relevant referees and staff","TBD"
,,,,,,
"Sports Events Technical Requirements:",,,,,,
"Item","Specification","Notes","","","",""
"Team Registration System","Online platform + physical registration desk","Include team roster, captain contact, jersey sizes","","","",""
"Tournament Management","Professional bracket management, live scoring","Digital display at venue","","","",""
"Awards & Trophies","Champion trophy, Runner-up trophy, Individual awards (MVP, Top Scorer, etc.)","High-quality crystal or metal trophies","","","",""
"Team Kits","Numbered jerseys with SERA branding","10 teams x 15 players = 150 jerseys minimum","","","",""
"Refreshments","Water, energy drinks, light snacks for players","At venue throughout tournament","","","",""
"Medical Support","First aid station, emergency contact","On-site during all matches","","","",""
,,,,,,
"═══════════════════════════════════════════════════════════════════════════════════════",,,,,,
"SECTION 7: STANDARD SERVICE SPECIFICATIONS FOR ALL EVENTS",,,,,,
"═══════════════════════════════════════════════════════════════════════════════════════",,,,,,
,,,,,,
"Service Category","Standard Specification","Premium Specification","Notes","","",""
"Photography","1 photographer, 300+ edited photos, delivery within 7 days","2 photographers, 500+ edited photos, same-day preview, delivery within 3 days","All photos in high resolution, branded template","","",""
"Videography","1 videographer, 3-5 min highlight video","2 videographers, 5-7 min highlight + full coverage, drone shots where permitted","4K quality, Arabic/English subtitles available","","",""
"Event MC","Professional bilingual MC (Arabic/English)","Celebrity or well-known MC","Must be appropriate for government entity","","",""
"Catering - Coffee Break","Arabic coffee, tea, water, 2 pastry items","Full beverage station, 4+ pastry/snack items, fresh juices","Per person, 2 breaks per half-day event","","",""
"Catering - Lunch/Dinner Buffet","Main course, salads, dessert, beverages","Live cooking stations, international cuisine options, premium desserts","Minimum 8 items, halal certified","","",""
"Decoration","Branded backdrop, table arrangements, basic floral","Custom theme design, premium florals, immersive experience","Colors per SERA brand guidelines","","",""
"Gifts - Standard","Branded notebook + pen set","Premium gift box (dates, Arabic coffee set, branded items)","SAR 50-75 per person vs SAR 150-250 per person","","",""
"Registration","Physical registration desk with name badges","Digital check-in system with QR codes + physical backup","Pre-event registration system recommended","","",""
"Social Media Coverage","Real-time posting on SERA channels, 10+ posts","Professional social media team, stories, reels, live coverage","Hashtag strategy per event","","",""
,,,,,,
"═══════════════════════════════════════════════════════════════════════════════════════",,,,,,
"SECTION 8: VENDOR REQUIREMENTS & QUALITY STANDARDS",,,,,,
"═══════════════════════════════════════════════════════════════════════════════════════",,,,,,
,,,,,,
"Vendor Category","Required Credentials","Quality Standards","Saudi Content Compliance","","",""
"Event Management Company","CR in Saudi Arabia, Minimum 5 years experience, Portfolio with government clients","ISO 9001 preferred, Professional liability insurance","Must meet Saudization requirements","","",""
"Catering","SFDA food license, HACCP certified, Halal certification","5-star hotel standards, Professional service staff","Saudi-owned preferred","","",""
"AV & Production","Licensed operation, Professional equipment (brand names: Samsung, Sony, Shure, etc.)","Broadcast quality, Backup equipment on-site","Local technical support","","",""
"Photography/Videography","Commercial registration, Portfolio submission required","Professional equipment, Editing suite, Quick turnaround","Experienced with corporate/government events","","",""
"Venue","Licensed hotel/venue, Accessibility features","Minimum 4-star rating for hotels, Adequate parking, Prayer facilities","Riyadh-based only","","",""
"Sports Facilities","Licensed sports facility, Safety certified","Well-maintained equipment, Clean facilities, Changing rooms","Booking flexibility for corporate events","","",""
,,,,,,
"═══════════════════════════════════════════════════════════════════════════════════════",,,,,,
"SECTION 9: RECOMMENDED VENUES IN RIYADH",,,,,,
"═══════════════════════════════════════════════════════════════════════════════════════",,,,,,
,,,,,,
"Venue Type","Venue Options","Capacity","Best For","Estimated Daily Rate (SAR)","Notes",""
"5-Star Hotel Ballroom","Four Seasons Riyadh, Ritz-Carlton, Fairmont, Mandarin Oriental Al Faisaliah","200-500","Major celebrations, Galas, Annual meeting","35,000-75,000","Book 2-3 months in advance",""
"Business Hotel Conference","Marriott, Hilton, Radisson Blu Convention Center","150-400","Conferences, Workshops, Awareness events","20,000-45,000","Good AV facilities built-in",""
"Premium Event Halls","The Event Hall, Qasr Al Sharq, Via Riyadh","200-400","Celebrations, Seasonal events","25,000-50,000","More flexibility in catering",""
"SERA HQ Facilities","Internal meeting rooms, Lobby area","50-150","Internal awareness days, Coffee/Tea day","Minimal cost","Coordination with admin",""
"Sports Venues - Football","Goals Soccer Centre, 360 Sports, Mahd Academy facilities","10 teams","Football tournament","3,000-6,000 per day","Book Friday slots",""
"Sports Venues - Padel","Padel Up, Padel Rush, The Garage","4-6 courts","Padel tournament","350-550 per 90min per court","Group booking discounts",""
"Resort/Entertainment","The Venue Riyadh, King Abdullah Park areas","300-500","Summer/Winter seasonal events","40,000-80,000","Family-friendly options",""
,,,,,,
"═══════════════════════════════════════════════════════════════════════════════════════",,,,,,
"SECTION 10: IMPLEMENTATION TIMELINE TEMPLATE",,,,,,
"═══════════════════════════════════════════════════════════════════════════════════════",,,,,,
,,,,,,
"Timeline Before Event","Action Items","Responsible Party","","","",""
"3 months","Venue booking, Main vendor selection, Budget approval","Event Manager + SERA Procurement","","","",""
"2 months","Detailed planning, Catering selection, AV requirements finalized","Event Manager","","","",""
"1 month","Design approvals (backdrop, invitations, gifts), Registration opens","Event Manager + SERA Communications","","","",""
"2 weeks","Final confirmations, Run-of-show document, Attendee list finalized","Event Manager","","","",""
"1 week","Venue site visit, Technical rehearsal, Gift packing","Event Manager + Vendors","","","",""
"1 day before","Setup, Technical check, Final walkthrough","All vendors on-site","","","",""
"Event day","Full team deployment, Live management, Issue resolution","Event Manager + Full team","","","",""
"Post-event","Breakdown, Photo/video delivery, Evaluation report","Event Manager","","","",""
,,,,,,
"═══════════════════════════════════════════════════════════════════════════════════════",,,,,,
"SECTION 11: ASSUMPTIONS & NOTES",,,,,,
"═══════════════════════════════════════════════════════════════════════════════════════",,,,,,
,,,,,,
"Assumption Category","Assumption Made","Impact if Different","Recommendation","","",""
"Location","All events in Riyadh - no travel costs included","If events in other cities, add travel, accommodation, logistics costs","Confirm all events Riyadh-based","","",""
"Attendance - Receptions","250-300 participants for major events","Catering, venue, gifts scale with attendance","Finalize attendee list 2 weeks before","","",""
"Attendance - Awareness Days","150-250 participants","Material quantities adjust accordingly","Track RSVPs actively","","",""
"Sports - Teams","10 teams for tournaments (men only)","More teams = more venue time, more jerseys","Registration deadline 3 weeks before","","",""
"Sports - Referees","Riyadh-based referees, no travel","If specialized referees needed from other cities, add travel","Use Saudi Football Federation certified","","",""
"Gifts","Standard corporate gifts (SAR 50-75 range)","Premium gifts significantly increase budget","Confirm gift budget per event","","",""
"AV Equipment","Professional rental, not SERA-owned","If SERA owns equipment, reduce AV costs","Audit existing SERA AV inventory","","",""
"Venue - SERA HQ","Available for internal events at no rental cost","If external venue needed for all, increase venue budget","Maximize SERA HQ usage for awareness days","","",""
"Entertainment","Standard professional entertainment","Celebrity appearances significantly increase budget","Book entertainment 2 months ahead","","",""
"Pricing Year","2026 prices based on current market (+5-10% inflation factor applied)","Market fluctuations may affect final pricing","Include escalation clause in contracts","","",""
