SERA 2026 - Technical Proposal,,,,,,,
,,,,,,,
EVENT #,EVENT NAME,DATE,VENUE RECOMMENDATION,STAGE & DÉCOR,AUDIO-VISUAL REQUIREMENTS,CATERING SPECIFICATION,ADDITIONAL SERVICES
,,,,,,,
,Q1 EVENTS (January - March),,,,,,
1,Annual Meeting 2026,February 3,"5-Star Hotel Ballroom (Ritz-Carlton, Four Seasons, or Fairmont Riyadh)","Stage 8m x 4m with branded backdrop, modular design, podium with SERA logo, corporate formal theme","LED Screen P2.5 indoor 4m x 2.5m, Professional line-array sound, 4 wireless mics, presentation clickers, live streaming setup, recording","Premium hotel lunch buffet (8+ items), 2x coffee breaks (Arabic coffee, tea, juices, 4 pastry items), water stations","Simultaneous Arabic/English translation (2 interpreters + equipment), Professional MC (bilingual), Registration desk with QR check-in + name badges, Agenda booklets, Photography (2 photographers, 400+ edited photos), Videography (2 cameras, 5-min highlight reel)"
2,Employee Appreciation Day,March 2,"5-Star Hotel Ballroom, Gala dinner setup with round tables","Gala stage with premium décor, award pedestals, LED lighting for ceremony ambiance, recognition wall display","Full AV package: screens, sound, spotlight for award ceremony, background music system","3-course plated dinner OR premium buffet (SAR 280/person level), welcome drinks, dessert station","Award design & production (10 crystal trophies + certificates), Live band (2-hour performance), Employee gift boxes, Full photography & videography team, Professional event MC"
3,International Women's Day,March 8,"Boutique venue or hotel ladies' section (e.g., Mandarin Oriental, Four Seasons private space)","Elegant feminine décor, floral centerpieces, stage for speakers, photo booth with elegant backdrop","Presentation projector, wireless mic for panel, ambient music system","Refined ladies' lunch (SAR 180/person), afternoon tea service","Keynote female speaker + panel discussion (3-4 speakers), Curated gift bags (skincare, accessories), Premium floral arrangements, Female photographer preferred, Photo booth with props"
4,Saudi Flag Day,March 11,"SERA HQ - Main lobby and outdoor area","Large Saudi flag display (5m+), national green & white color scheme throughout, photo opportunity spots","Portable sound system for national anthem and speeches","Arabic coffee (dallah service), dates, traditional Saudi sweets, water","Flag raising ceremony coordination, Commemorative items (flag pins, badges), Social media live coverage, Photography (2 hours)"
5,Ramadan Iftar,Mid-March,"5-Star Hotel Ramadan Tent (Fairmont, Four Seasons, Ritz-Carlton)","Traditional Ramadan décor: lanterns, crescent motifs, VIP seating section (10% of guests), majlis-style areas","Ambient lighting, background Quran recitation system, wireless mic for speeches","Premium 5-star Iftar buffet (SAR 350/person) with live cooking stations, traditional Arabic dishes, VIP upgrade for 30 guests","Traditional entertainment (Oud player), Ramadan gift boxes (premium dates, tasbih, Ramadan items), Prayer area arrangement, Photography (evening coverage)"
6,Mother's Day,March 21,"Elegant restaurant private section or boutique hotel venue","Floral-themed décor, soft lighting, greeting card display, photo area","Basic sound for music and announcements","Private restaurant lunch/brunch (SAR 200/person), elegant presentation","Individual flower gift for each attendee, Special gifts for mothers (50% assumed to be mothers), Light entertainment/musical performance, Photography (3 hours)"
,,,,,,,
,Q2 EVENTS (April - June),,,,,,
7,Eid Al-Fitr Celebration,Early April,"5-Star Hotel Grand Ballroom","Festive Eid theme: gold & white décor, large stage with Eid motifs, premium table settings, entrance arch","Full production: LED wall, concert-grade sound, stage lighting, fog machine, spotlight","Eid special gala dinner (SAR 300/person), live cooking stations, traditional sweets station, Arabic coffee ceremony","Ardah traditional dance performance, Live modern entertainment, Eid gift boxes (SAR 100/person), Children's corner with activities (if families invited), Full photo/video team, Professional MC"
8,Creativity & Innovation Day,April 21,"Conference center or business hotel (Radisson Blu Convention Center)","Main stage + 10 innovation showcase booths (per department), innovation awards display, interactive walls","Full conference AV: main screen, booth displays, digital voting system, presentation equipment per booth","Full-day catering: lunch buffet + 2 coffee breaks (SAR 150/person total)","Innovation competition coordination, Judging panel (3-5 external judges), Keynote speaker on innovation (industry expert), Award trophies (5-7 awards), Interactive voting system for best innovation, Photography & videography"
9,International Tea Day,May 21,"SERA HQ - Common areas / cafeteria","Tea-themed decoration, 3 stations (Arabic, English, Asian), educational displays about tea origins","Basic sound for background music","3 professional tea service stations, paired tea snacks & pastries (SAR 30/person)","Professional tea master/barista at each station, Educational materials and displays, Photography (2 hours), Branded tea samples to take home"
10,Blood Donation Day,June 14,"SERA HQ - Designated area with medical setup","Awareness campaign materials (posters, digital screens), registration area setup, recovery zone","Digital screens showing awareness content","Post-donation refreshments: juice, snacks, light food (SAR 40/donor)","Saudi Red Crescent partnership (they provide medical equipment & staff), Pre-event awareness email/poster campaign, Donor appreciation gifts & certificates, Photography for documentation"
11,Father's Day,June 15,"Restaurant or event space with private booking","Celebration décor, activity zone, recognition wall","Sound system for announcements and music","Venue with lunch/dinner (SAR 180/person)","Gifts for fathers (50% assumed to be fathers), Team-building activities, Photography (3 hours)"
12,Eid Al-Adha Celebration,Mid-June,"5-Star Hotel Grand Ballroom","Eid Al-Adha festive theme, large stage, premium décor with traditional Arabian elements, entrance display","Full production: LED wall, concert-grade sound, lighting design","Eid Al-Adha special menu (SAR 300/person), lamb-focused traditional dishes, premium desserts","Ardah performance, Live entertainment, Eid gift boxes (SAR 100/person), Full photo/video coverage, Professional MC"
,,,,,,,
,Q3 EVENTS (July - September),,,,,,
13,Summer SERA (صيف SERA),July 20,"Entertainment venue or resort (Boulevard area, Via Riyadh) - MUST be evening post-sunset due to extreme July heat","Multiple activity zones: main stage, kids zone, food festival area, games area, photo spots, shaded throughout","Concert-grade outdoor sound, stage lighting, LED screen for main stage, zone-specific audio","Food festival style - multiple stations (SAR 120/person), beverages (SAR 25/person)","Main stage entertainment (live band/show), Children's entertainment zone (games, characters, activities), 8 game/activity booths, Prizes & raffle, Family gift bags (200 families), Multiple photographers for zone coverage, NOTE: Evening timing critical - Riyadh July heat exceeds 45°C"
14,World Alzheimer's Day,September 21,"SERA HQ","Purple awareness theme, information booth, speaker area","Presentation setup, mic","Light refreshments (SAR 30/person), healthy snacks","Healthcare expert speaker (neurologist/awareness specialist), Purple ribbons and awareness items, Information displays and brochures, Photography (2 hours)"
15,Saudi National Day (96th),September 23,"Premium event venue with indoor/outdoor capability","Premium national décor: green theme throughout, large Saudi flag displays, national symbols, stage with patriotic backdrop, green lighting effects","Full AV production: LED walls with national content, concert-grade sound, special lighting (green laser/effects)","Saudi traditional feast + modern (SAR 250/person), traditional coffee ceremony","Ardah performance troupe, Saudi cultural entertainment acts, National anthem ceremony, Official speeches, National Day themed gifts (SAR 85/person), Green venue lighting and special effects, Full photo/video team, NOTE: Book venue 3-4 months ahead - high demand"
,,,,,,,
,Q4 EVENTS (October - December),,,,,,
16,International Coffee Day,October 1,"SERA HQ - Common areas","Coffee-themed décor: 3 stations (Arabic dallah ceremony, specialty espresso bar, international)","Background music system","Professional barista service + Arabic coffee ceremony + coffee pastries (SAR 40/person)","Professional barista, Traditional Arabic coffee service (dallah, finjan), Educational coffee origin displays, Photography (2 hours)"
17,Cybersecurity Exhibition,October TBD,"SERA HQ or Conference center","6 interactive exhibition booths with demo stations, main presentation stage, simulation area","Full conference AV, booth screens/monitors, live demo equipment","Full-day catering: lunch + 2 breaks (SAR 120/person)","6 interactive cybersecurity demo booths (phishing simulation, password strength, etc.), 2 expert speakers, Awareness materials and branded secure USB giveaways, Photography & videography"
18,World Mental Health Day,October 10,"SERA HQ","Wellness/calm décor, relaxation zone with comfortable seating, information displays","Presentation setup for speaker, ambient music","Healthy refreshments (SAR 35/person), herbal teas, fruits","Wellness expert/psychologist speaker, Stress management interactive workshop, Relaxation zone with activities, Wellness giveaways (journals, stress balls), Photography (half-day)"
19,Quality Day,November 10,"Business hotel conference room","Stage for awards, presentation setup, quality showcase display","Conference AV: screen, sound, presentation clickers","Half-day catering: lunch + 1 break (SAR 100/person)","Quality awards ceremony (5-7 trophies), Best practices presentations by departments, External quality expert speaker, Photography (half-day)"
20,International Men's Day,November 19,"Event space or restaurant","Celebration décor, activity area","Sound system for program","Lunch or dinner with venue (SAR 150/person)","Team activities and competitions, Recognition gifts (SAR 40/person), Photography (3 hours)"
21,Universal Children's Day,November 20,"Family-friendly entertainment venue","Colorful child-friendly décor, activity stations, safe play areas","Sound for entertainment, background music","Kid-friendly menu + adult options (SAR 80/person for 200 total)","Professional children's entertainers (clown, characters), Game stations and activities, Gifts for children (toys, activity kits SAR 50/child), Safety staff for children's area, Photography (4 hours)"
22,Volunteer Day,December 5,"Community location (orphanage, elderly home, or park)","Branded volunteer setup (banner, signage)","None needed","Lunch boxes + water for volunteers (SAR 50/person)","Transportation (2 buses from SERA HQ), Branded volunteer T-shirts, Activity materials and supplies, Appreciation certificates, Photography for documentation"
23,Anti-Corruption Day,December 9,"SERA HQ or conference room","Integrity pledge wall, information displays, awareness corner","Presentation AV setup, mic","Light refreshments (SAR 35/person)","Ethics expert or Nazaha representative speaker, Integrity pledge signing ceremony, Awareness brochures and guidelines, Photography (half-day)"
24,Arabic Language Day,December 18,"Cultural venue or SERA HQ (decorated)","Arabic calligraphy displays, poetry corner, cultural décor, Arabic manuscript replicas","Presentation setup, ambient Arabic music","Traditional Arabic hospitality setup (SAR 40/person), Arabic coffee & dates","Poet or Arabic literature author guest, Live calligraphy workshop (professional calligrapher), Arabic poetry reading session, Cultural program, Photography (3 hours)"
25,Year-End Celebration,Late December,"5-Star Hotel Grand Ballroom - Premium","Elegant year-end gala: premium stage, LED lighting design, year-in-review displays, awards stage, luxury table settings","Full gala production: LED wall, concert sound, designer lighting, year-review video playback","Premium gala dinner (SAR 320/person), live cooking stations, premium dessert bar","High-quality live entertainment (band + performer), Annual awards ceremony (trophies + recognition), Year-in-review highlight video production, Year-end premium gifts (SAR 120/person), Full photo/video team, Professional MC, NOTE: Book venue 3 months ahead for Dec dates"
,,,,,,,
,STANDARD SERVICE SPECIFICATIONS (Applied across all events),,,,,,
SERVICE,STANDARD LEVEL,PREMIUM LEVEL,NOTES,,,,
Photography,"1 photographer, 300+ edited high-res photos, delivery 7 days","2 photographers, 500+ photos, same-day preview, delivery 3 days",All photos branded with SERA template,,,,
Videography,"1 videographer, 3-5 min highlight reel, 4K","2 videographers, 5-7 min highlight + full coverage, drone (where permitted)",Arabic/English subtitles available,,,,
Event MC,Professional bilingual MC (Arabic/English),Well-known MC / media personality,Must be appropriate for government entity,,,,
Registration,Physical desk with pre-printed name badges,"Digital QR check-in system + physical backup, live attendance tracking",Pre-event online registration recommended,,,,
Social Media Coverage,"Real-time posting on SERA channels, 10+ posts per event","Dedicated social media team, stories, reels, live video, post-event recap",Event-specific hashtag strategy,,,,
Branding,SERA logo on all materials - backdrop - badges - prints,Full brand immersion - custom event identity within SERA guidelines,All designs require SERA approval before production,,,,
,,,,,,,
,RECOMMENDED VENUES IN RIYADH,,,,,,
VENUE TYPE,OPTIONS,CAPACITY,BEST FOR,EST. DAILY RATE (SAR),BOOKING LEAD TIME,,
5-Star Hotel Ballroom,"Four Seasons, Ritz-Carlton, Fairmont, Mandarin Oriental",200-500,"Major celebrations, Galas","35,000 - 75,000",2-3 months,,
Business Hotel Conference,"Marriott, Hilton, Radisson Blu Convention Center",150-400,"Conferences, Workshops","20,000 - 45,000",1-2 months,,
Premium Event Halls,"Via Riyadh, Qasr Al Sharq, The Event Hall",200-400,"Celebrations, Seasonal events","25,000 - 50,000",2-3 months,,
SERA HQ Facilities,Internal meeting rooms and lobby,50-200,"Awareness days, Internal activities",No rental cost,Internal coordination,,
Football Pitches,"Goals Soccer Centre, 360 Sports, Mahd facilities",10 teams,Football tournament,"3,000 - 6,000 / day",1 month,,
Padel Courts,"Padel Up, Padel Rush, The Garage",4-6 courts,Padel tournament,"350 - 550 / 90min / court",2-3 weeks,,
Entertainment Venues,"Boulevard area, Via Riyadh, resort venues",300-500+,"Summer/Winter seasonal events","40,000 - 80,000",3-4 months,,
,,,,,,,
,IMPLEMENTATION TIMELINE (Per Event),,,,,,
MILESTONE,TIMEFRAME,ACTION ITEMS,RESPONSIBLE,,,,
Planning & Booking,3 months before,"Venue booking, vendor selection, budget approval","Event Manager + SERA Procurement",,,,
Design & Coordination,2 months before,"Catering selection, AV specs, entertainment booking","Event Manager",,,,
Materials & Production,1 month before,"Design approvals (backdrop, invites, gifts), registration opens","Event Manager + SERA Comms",,,,
Confirmations,2 weeks before,"Final vendor confirmations, run-of-show, attendee list lock","Event Manager",,,,
Pre-Production,1 week before,"Venue site visit, technical rehearsal, gift packing","Event Manager + Vendors",,,,
Setup,1 day before,"Full setup, tech check, walkthrough","All vendors on-site",,,,
Event Day,Day of,"Full team deployment, live management, issue resolution","Event Manager + Full crew",,,,
Post-Event,1-2 weeks after,"Breakdown, photo/video delivery, evaluation report, invoice","Event Manager",,,,
